"logFC","logCPM","PValue","FDR"
"Tcas012002",1.05390512757968,5.40598590279782,1.13478854110024e-06,0.000164330537719907
"Tcas006736",-2.04045308790056,2.21559500402016,1.19252129439936e-06,0.000170223896766262
"Tcas010555",1.61884585672296,8.32925929276976,1.23288121017131e-06,0.000173506324676503
"Tcas011944",4.26205439285009,5.89835014284415,1.36309805944738e-06,0.000189167719583308
"Tcas007752",1.30277151411369,6.59251098628021,1.54422194503271e-06,0.000211368022942011
"Tcas001934",1.24502177608934,7.12572781739301,1.58923494729876e-06,0.000214589670181205
"Tcas006250",-2.58121445410221,6.47310571830778,1.85017532220807e-06,0.00024485514281367
"Tcas003554",-1.00456190790898,5.72448670734507,1.86238899658116e-06,0.00024485514281367
"Tcas006244",3.32608127829404,2.2754913555682,2.12842949989608e-06,0.000276198280038463
"Tcas009187",1.32165562524446,4.5377208359748,2.19580922777024e-06,0.000281288792357439
"Tcas011551",-1.36782418948165,9.20173301673717,2.31704752100397e-06,0.000293062516833818
"Tcas004668",1.60636149573607,4.79660404902773,2.4853764887908e-06,0.000310423523449971
"Tcas002819",-1.6749233886437,1.5954358614353,2.67376257053978e-06,0.000329830069195475
"Tcas008415",-0.961214742138064,4.67764749562922,2.79066642491456e-06,0.000339639066224072
"Tcas006308",1.61225676129531,9.32700567925937,2.82126125866673e-06,0.000339639066224072
"Tcas008444",3.24612993205371,6.26781858260418,3.65593804052143e-06,0.000434882534534406
"Tcas007000",0.964005684364611,7.32950705212124,4.62076429421584e-06,0.000537276465656774
"Tcas000357",1.73133584868357,5.04573503531522,4.62427702626927e-06,0.000537276465656774
"Tcas001689",-1.01425741364434,6.47470170750214,4.93156748951318e-06,0.000563178605390338
"Tcas012185",3.37398522839821,4.88385246463453,4.95993967917832e-06,0.000563178605390338
"Tcas009633",1.24222082424618,3.403488756367,5.63082390320719e-06,0.000632170701582542
"Tcas010104",-1.72092865085311,5.04477311195725,5.77338515703361e-06,0.000640974049878665
"Tcas008986",-0.97436358597664,6.8486065388135,5.92035139167013e-06,0.00065006759456668
"Tcas005504",-0.927770340456782,4.70693155763902,7.47478108350198e-06,0.000811826223764693
"Tcas006142",-1.62405466225808,11.5905632833685,7.56681311831378e-06,0.000812984910518186
"Tcas000444",1.82246784455345,3.15110840501591,7.77987376591993e-06,0.000826984028394382
"Tcas007950",-1.0083546901236,7.23210057452927,8.11312565711759e-06,0.000853330016483357
"Tcas000108",7.00759187207633,8.02906909765883,8.41304594624688e-06,0.000875657865571863
"Tcas007215",-1.27711603332874,4.7959705885872,8.60228078396454e-06,0.000886123604055398
"Tcas008288",-1.36038309009974,2.42160781351514,9.00441362903075e-06,0.000918082663074237
"Tcas005073",1.77565683701361,3.0570012381119,9.26382185177986e-06,0.000934990989323074
"Tcas007457",1.42979830343967,3.56717893210041,1.00718284526928e-05,0.00100637709899306
"Tcas001913",-0.865933378783515,7.06373682847543,1.0299037310085e-05,0.00101889089903336
"Tcas012482",2.31356501200849,4.76627141772602,1.05289620615388e-05,0.00102702344135136
"Tcas002980",-1.42171226943163,4.54220710877836,1.05868108946347e-05,0.00102702344135136
"Tcas004626",2.70573652503924,3.08212318438093,1.07480598876379e-05,0.00103264052305074
"Tcas002901",1.03431970982667,7.21821105064473,1.23699099935093e-05,0.00117714419671567
"Tcas000934",1.36250180716393,6.38180084629649,1.31402899776878e-05,0.00123267471268487
"Tcas012401",-0.985847937469374,5.67630676190719,1.32001795693836e-05,0.00123267471268487
"Tcas007742",-1.3592789546181,6.63769956936657,1.36275605280324e-05,0.00126080171107499
"Tcas002464",-2.49475387954764,5.96234465766139,1.4005230389183e-05,0.00128385561512584
"Tcas004398",-0.914557504415899,7.34772538092855,1.41413634667398e-05,0.00128455003417877
"Tcas012067",-1.4831088372007,2.60416830301713,1.54355729452101e-05,0.00138947968350036
"Tcas002003",-1.78978853335873,11.432005749579,1.56117813613532e-05,0.00139279392288072
"Tcas009190",2.34080571497279,6.95814463287513,1.60293764654007e-05,0.00141739406763083
"Tcas002547",1.72323588100066,6.77741128744125,1.6263163030491e-05,0.00142545197369005
"Tcas001723",-1.11236902125468,4.67266030888328,1.68124092015956e-05,0.00146077906732472
"Tcas000497",-1.08686837312082,8.70812389621287,1.71327894966489e-05,0.00147578304009065
"Tcas009462",-0.965313895987288,3.88511754507519,1.80057655855575e-05,0.00153772316009308
"Tcas010977",-0.97172802495262,6.86051086599398,1.82069342028313e-05,0.00154172615724314
"Tcas000305",3.02389056362519,6.29662223266763,2.06785636004768e-05,0.00173630426467197
"Tcas009515",0.928527986546405,6.61058752818932,2.15619400201357e-05,0.0017953908723433
"Tcas009509",1.25582951141108,5.89080172695005,2.44463730833151e-05,0.00201284795194434
"Tcas001429",0.836648665782808,6.43989472621719,2.45764061386319e-05,0.00201284795194434
"Tcas004813",1.02963784237714,4.43611040313978,2.49788671553194e-05,0.00202652094371639
"Tcas002997",1.61557098589683,6.51244970525776,2.51489788851914e-05,0.00202652094371639
"Tcas000568",1.9458307977266,5.11553498760076,2.57148610325898e-05,0.0020555431315011
"Tcas000880",3.80949950383072,8.22466972264712,2.63333479803797e-05,0.00208827629380916
"Tcas008106",-1.92063922360251,3.13749889415823,2.80526862838358e-05,0.00220710583738652
"Tcas012048",3.67740199840587,7.54961934271735,2.85586938226399e-05,0.00222936303652983
"Tcas011193",1.03027366719073,5.95878769082939,2.91922358543326e-05,0.0022518908544211
"Tcas008385",-1.35778907443841,8.61663413558775,2.92980195230928e-05,0.0022518908544211
"Tcas000861",-1.03982251841727,4.88461187422033,2.98183614394458e-05,0.00226982092931325
"Tcas005268",2.78267281220505,6.24700017031219,3.00113132748029e-05,0.00226982092931325
"Tcas006608",0.880858116407607,5.60628937367202,3.02127885907388e-05,0.00226982092931325
"Tcas010494",-1.15130371713416,7.23418607910543,3.09783073673317e-05,0.00230996453145058
"Tcas005094",-3.01743495439272,4.38613899379728,3.13786671807238e-05,0.00232248624051698
"Tcas003075",0.977090867717857,5.80579359952577,3.20469545363509e-05,0.00235450860093543
"Tcas004414",-0.74932786889867,6.47728443054006,3.30381689458943e-05,0.0024096159423896
"Tcas000696",2.61335464172991,2.94395575915052,3.35675708219585e-05,0.00242219453553279
"Tcas002584",1.54976075786999,3.30004997585668,3.36954604122355e-05,0.00242219453553279
"Tcas003397",-1.34541282383901,2.13225050905772,3.5324240898799e-05,0.00252114153614857
"Tcas009517",1.8205101474781,6.82347267992233,3.63484010776154e-05,0.00257583846501796
"Tcas008327",0.892501814595228,7.15435008663282,3.92224486964215e-05,0.00275993455897636
"Tcas001531",-0.889976599274507,5.80746259429315,4.32030677243307e-05,0.00301877659231827
"Tcas007432",-0.746774939817073,5.37081647478551,4.38312441992942e-05,0.00304140133360658
"Tcas005888",-0.90456629786297,6.03586986425598,4.65622340861335e-05,0.00320861960681825
"Tcas003445",-0.733523179364089,6.17951640431525,4.7022090729385e-05,0.00321811459293161
"Tcas010519",2.18639889265935,6.00413142934114,4.84907333737618e-05,0.00329605039367774
"Tcas009997",3.2794969910152,12.8444039590125,5.06234024717522e-05,0.00341776376687668
"Tcas001208",-1.19036344724405,7.66045905433577,5.13068165783882e-05,0.00341977896787595
"Tcas001006",0.97032123319377,7.40715406126247,5.16686879786568e-05,0.00341977896787595
"Tcas000162",0.848033287443498,4.92841168572539,5.16800064200628e-05,0.00341977896787595
"Tcas006159",-1.14649218144994,5.30371874599183,5.20904160632789e-05,0.00342425945594923
"Tcas011495",-0.752486922493829,6.10473769455329,5.89758660274902e-05,0.00385154806108943
"Tcas004816",-1.32615521761626,4.55012906986342,6.23247123989891e-05,0.00404382159929025
"Tcas008900",-1.59108929858378,3.87269849525769,6.35544749296874e-05,0.00409300765135692
"Tcas010420",2.77613900222254,9.91723303747439,6.39020409939631e-05,0.00409300765135692
"Tcas010099",4.03589671008788,2.14130272224944,6.46773361683961e-05,0.00411627989168544
"Tcas012300",-1.25099054030696,4.73208680615686,6.60139227956944e-05,0.00412810663345107
"Tcas002557",-1.23964952055675,11.6942134872962,6.67383716460038e-05,0.00412810663345107
"Tcas011934",1.84569424292763,6.72421994411121,6.70742877480607e-05,0.00412810663345107
"Tcas010627",-1.15004960033084,6.18050058030138,6.72751448237857e-05,0.00412810663345107
"Tcas005879",-0.775889759549116,4.17922308541462,6.75169094527532e-05,0.00412810663345107
"Tcas003424",2.03812290497014,2.196180621096,6.76474535658061e-05,0.00412810663345107
"Tcas007137",1.55185849121436,2.15864301251068,6.77551529109263e-05,0.00412810663345107
"Tcas003361",4.79122483729335,1.53407108232185,7.00942474061469e-05,0.004244737697468
"Tcas004374",0.95043605491097,4.52112293330599,7.11184439574662e-05,0.00428081621700604
"Tcas011543",0.820285815704329,4.68228009619446,7.20832039914986e-05,0.00431290643283266
"Tcas004441",-0.975483804303058,5.69204849000627,7.63177162849152e-05,0.00453908703046948
"Tcas004649",-4.45796461561665,7.58254112288089,8.06848827690653e-05,0.00477043401555326
"Tcas012293",1.0844571785269,3.00364064813766,8.13494459052948e-05,0.0047814333146218
"Tcas008824",-1.09435947712813,3.6675620006242,8.55125545421593e-05,0.004996733596405
"Tcas003844",-1.52390135471986,8.10630624355239,9.16641554371668e-05,0.00532504791353587
"Tcas004352",-2.58044682174076,2.31399207676399,9.29598245072215e-05,0.00536910154032461
"Tcas011561",1.15361279472088,3.91736286940851,9.47781925706968e-05,0.00543518372090744
"Tcas011363",1.21299582326792,5.43412489967564,9.51918686107689e-05,0.00543518372090744
"Tcas009302",-1.26089215853038,7.97101316814322,0.000100659745096144,0.00571472825568565
"Tcas009303",1.25613679838065,5.52896841682374,0.000102298592553361,0.00576495097811573
"Tcas011939",-1.04028729074639,7.12386180514102,0.000103111906383342,0.00576495097811573
"Tcas011474",3.58302164713737,2.28306166198579,0.000103409959095264,0.00576495097811573
"Tcas003757",2.51979462223296,4.78090676676285,0.000104424580139897,0.00576495097811573
"Tcas009946",1.26991786461409,3.85786719876043,0.000104429156028718,0.00576495097811573
"Tcas000318",-0.808753459776896,6.16701115176707,0.000107090208606802,0.00587937013406134
"Tcas002991",2.86029146368343,13.4635986734682,0.0001173451867568,0.00640717544302701
"Tcas005329",2.86675237599217,5.50189657326343,0.000119912919164852,0.00651179287116956
"Tcas001624",-2.50018110518453,1.03870051739289,0.000122112479761086,0.00659539404201498
"Tcas008681",-1.07789114254482,5.29795095247741,0.000129292432577782,0.00694564508772685
"Tcas001062",1.19600330502662,9.06349213567224,0.000134164645440746,0.00714226598363747
"Tcas003695",1.55303338468846,7.00542834337288,0.000134382106177326,0.00714226598363747
"Tcas009493",3.82738403756955,8.77121791843624,0.000138140549688292,0.00730317657399689
"Tcas011533",1.4136816655462,2.82658864145164,0.000142627455030494,0.0075007027929721
"Tcas002837",1.04133126060147,7.1727487484366,0.000143499315706908,0.00750704273582942
"Tcas004938",3.72577978446039,7.57706947268157,0.000145839680802337,0.00758974005508827
"Tcas007550",3.77252205706765,8.11495900698214,0.000149415106561173,0.00769995265267958
"Tcas006712",-0.776391711834618,6.64412770766686,0.000150078504542252,0.00769995265267958
"Tcas009766",1.41878863623208,5.12356970503114,0.000150428391638836,0.00769995265267958
"Tcas010029",4.05517942914492,13.2614038835125,0.000151039903915652,0.00769995265267958
"Tcas005122",-1.73815464863676,4.87332793877398,0.00016171017484699,0.00820207140645239
"Tcas011116",1.39509797315012,4.68827454895883,0.000163762119542818,0.00826419746702949
"Tcas002560",-0.689629200922961,6.37093661285687,0.000172940537814941,0.00868352690375322
"Tcas011178",-2.02607936306391,6.14207673777977,0.000174337565927232,0.00870990479372449
"Tcas008686",-4.24569270365495,6.56472491155185,0.000175639625292784,0.00873129918370895
"Tcas008450",2.82214551980911,5.09316816258833,0.000179382144586259,0.00887319994408859
"Tcas000123",-1.6182826373836,3.56526526035175,0.0001814704815722,0.00893228104369173
"Tcas012078",-1.21991173236661,6.44079046970028,0.000184134727517944,0.00901899116352597
"Tcas009838",4.06423904312963,6.89904767402934,0.00018581075025889,0.00903247344540057
"Tcas000139",-1.2360225769077,5.79931467849182,0.000187017924580762,0.00903247344540057
"Tcas005263",1.64638503836134,6.36490920724585,0.000187795024402022,0.00903247344540057
"Tcas010978",1.44865531336659,3.84824942218039,0.000188025868359019,0.00903247344540057
"Tcas003893",-0.799115095047336,6.20092041449967,0.00019471990763086,0.00926959363361464
"Tcas000654",0.816706458051911,6.89676417957957,0.000194817320162037,0.00926959363361464
"Tcas004402",-2.46943238793604,9.25504928294276,0.000199782787428932,0.0094608038482933
"Tcas008522",2.25636596915243,1.48995874695635,0.000204074587545554,0.00961845886205272
"Tcas007556",-0.997906964794224,6.3341165800447,0.000207232122044664,0.00972142424164454
"Tcas007944",2.30444295800543,11.7380294970096,0.000213403592945419,0.00996415280705902
"Tcas006185",3.17303857499133,5.53283608303026,0.000216311496537223,0.0100529510390695
"Tcas000855",-1.03729479067307,5.46298918740364,0.000219641918875757,0.0101604724694748
"Tcas006013",1.96466043368291,7.81421603319763,0.000221519194112051,0.0102000911869475
"Tcas011932",-0.982315501597842,5.68739144932123,0.000224276355709011,0.0102796759002038
"Tcas009785",1.39474286312309,6.77240669211097,0.000242842431348731,0.0110798245389795
"Tcas008587",1.23887062838895,2.57592102331583,0.000246982073355265,0.0112174767134809
"Tcas003488",1.94271284904261,7.091108716714,0.000248525411551919,0.0112364973403926
"Tcas009689",0.75632710345038,7.03527412596983,0.000253619889442456,0.0113655784882093
"Tcas010714",-0.913314266794043,8.17958567828599,0.000253655324546704,0.0113655784882093
"Tcas005219",-1.3317050698886,5.80706617658515,0.000258026602602615,0.0115098295232381
"Tcas006155",-0.776020309590241,7.20735062706251,0.000262346674516542,0.0116505243189746
"Tcas011173",-1.43124373374747,7.49565501400513,0.000271379880869624,0.0119983529630499
"Tcas005856",-1.32843142547229,3.24635447412406,0.000272858425930659,0.0120105788189389
"Tcas009406",1.05604189522929,4.4195412402891,0.000277709485503512,0.0121350280097602
"Tcas010906",1.04704241436734,3.98794113690102,0.00027952601786071,0.0121350280097602
"Tcas009870",6.3370693026929,0.913618453951826,0.000280366619964748,0.0121350280097602
"Tcas004433",-1.10137889638448,3.82347312679916,0.000280543581890974,0.0121350280097602
"Tcas006758",3.97401684093472,1.25358364752829,0.000286326072713069,0.0123317677523663
"Tcas005596",-1.13553227427492,8.86319921382246,0.000293996042994592,0.0126077616377767
"Tcas012319",0.787492166048163,4.30297381217436,0.000296150901368483,0.0126458966088627
"Tcas005083",-1.62554662595041,2.37564725230783,0.000298945220050237,0.0127108963350722
"Tcas010669",1.19320560904817,6.04810426778888,0.00030514602308975,0.0129195722996304
"Tcas005541",-0.96761617811642,4.1306374411857,0.000308341574885448,0.0129997848787148
"Tcas004469",-0.883208416298567,6.42660545426343,0.000312127701182686,0.0131041176059555
"Tcas009707",-0.911985972568082,6.76048891869389,0.000317464397258696,0.0132724027506648
"Tcas010072",-1.43094432955081,8.05609506301605,0.000320213375750044,0.0133315502103935
"Tcas002654",4.71821210093499,6.08307918382136,0.000325335977806714,0.0134886186317207
"Tcas002616",-0.73252398853799,5.09152830127661,0.000328092955174157,0.0135199410527083
"Tcas000089",2.10048378933411,5.30292106182596,0.000328797605665344,0.0135199410527083
"Tcas011728",-1.28792568881654,6.47062219765076,0.000331300682484209,0.0135670345056648
"Tcas011445",-1.16878349493992,8.94808068244614,0.000340282379201796,0.0138779654407524
"Tcas008723",-1.28094278531965,9.73895810801539,0.000346475177021537,0.0140613513343208
"Tcas012513",-1.69715069641769,2.83130661033471,0.0003475934527199,0.0140613513343208
"Tcas003426",-0.891558440157203,2.73478360460249,0.000352773522230715,0.0142133590085859
"Tcas009287",-1.56913888897281,2.05629692142175,0.000357324267199399,0.0143388918789413
"Tcas009451",3.831268105904,13.7429832211666,0.000361299330558144,0.0144404116437479
"Tcas005749",-0.68299927787632,4.25777849570576,0.000370337013933684,0.014742659136356
"Tcas004277",1.37187016755442,3.90245435873921,0.0003779605573583,0.0149864360679529
"Tcas002505",-1.03333631444758,4.20085780798342,0.000383932088617375,0.0151569253910159
"Tcas006439",-0.690141622144018,4.54060100036359,0.000385294140243998,0.0151569253910159
"Tcas010968",-0.928632947267334,5.69452545043467,0.000394710717971859,0.0154664686038228
"Tcas010626",-1.09292335864188,7.59391455084876,0.000415987214424312,0.0161758729966381
"Tcas002719",-0.715257790997473,4.59132610496904,0.000417350538252429,0.0161758729966381
"Tcas011502",0.790960626263373,4.14197161073566,0.000418051865901498,0.0161758729966381
"Tcas006814",-1.75469680494852,4.23870748511917,0.000419290543047364,0.0161758729966381
"Tcas008806",-1.16357599394081,2.99401725384931,0.000427783441696404,0.0164400467285787
"Tcas000765",1.12210072655364,7.03996905910597,0.000432311558093426,0.0165045850144805
"Tcas000715",-1.11755896949784,3.98644499265177,0.00043276634045175,0.0165045850144805
"Tcas010694",1.00572963378444,5.8926329250514,0.000442075852723805,0.0167955206099477
"Tcas011930",-2.20261818746268,11.2513434481138,0.000446490847176437,0.0168990020643445
"Tcas005997",-0.738265206301749,6.60585343484359,0.000455012075091324,0.0171565307709906
"Tcas011166",0.855865501050624,3.3059464354977,0.000459796577864808,0.0172472803244708
"Tcas001613",0.885405360620583,6.0643926631963,0.000460871081528595,0.0172472803244708
"Tcas011344",0.893042819867182,6.23992723960271,0.00046548448027493,0.0173549288317429
"Tcas010457",2.05230408079546,6.36968215436531,0.000471100415668109,0.0174990161834786
"Tcas005107",3.00320838330466,4.9138699412725,0.000475547031989388,0.0175987627542147
"Tcas003217",3.59566694438039,6.6516461783316,0.000486618796622555,0.0179042512588649
"Tcas011402",-1.17363759930882,4.27640903527728,0.000487808475293555,0.0179042512588649
"Tcas005972",2.00923539780831,6.44742920327269,0.000489506226639731,0.0179042512588649
"Tcas001483",4.81862348442935,2.98515857593703,0.00049096925990082,0.0179042512588649
"Tcas007216",1.73351023482393,2.40106637191998,0.000493127016378746,0.0179175459914779
"Tcas002004",1.10246810832928,4.48294298050538,0.000496576951979795,0.0179775250151526
"Tcas008655",2.79797625881167,6.78029087115353,0.000503275277045154,0.0181542475387552
"Tcas009833",-0.830315312508499,7.4206050012556,0.000512176918468516,0.0184088912566094
"Tcas009325",-0.982058813100408,5.25754635997104,0.000522239751087538,0.0187032960317802
"Tcas004225",1.22086884567563,5.09252681034385,0.000524548064552236,0.0187188723607355
"Tcas006208",1.51068487794664,8.91596771524392,0.000535046748012936,0.0190255768901966
"Tcas002943",-0.741913683173767,5.02143513061649,0.000554184440113216,0.0196362089560683
"Tcas004041",1.30448354423715,5.78022751134104,0.000561092663085181,0.0198056133138696
"Tcas007343",1.15293649902495,5.23135028155204,0.000562929761923435,0.0198056133138696
"Tcas001194",-1.08060535107153,6.00290754748959,0.000566311584818936,0.0198546854579327
"Tcas010798",-0.753665513177675,6.2639396718495,0.000569410946015365,0.0198935460579914
"Tcas002255",0.792021910532986,5.78341530007444,0.00057171412099289,0.0199044163657176
"Tcas006869",1.03538006153418,8.31797222795772,0.000584462431027899,0.0202775993431624
"Tcas002912",-1.14685298462492,8.49292062539178,0.000619263638901518,0.0214106653283874
"Tcas004206",1.10244890784356,4.58984664102005,0.000625247471303623,0.0214912610781079
"Tcas000780",1.13375068295261,4.9469779702222,0.000625896414504543,0.0214912610781079
"Tcas001752",-2.19702509538285,4.21975029024205,0.000629909462719839,0.0215549840804679
"Tcas001213",0.742636500731766,5.96744097732136,0.00063599636504313,0.0216889954932115
"Tcas010872",1.62995622269314,2.16007660783545,0.000638251877278391,0.0216918801284547
"Tcas005816",1.01830338222493,3.83538544237543,0.000662587561995472,0.0224426268456229
"Tcas003274",4.25237991792634,2.53434442007938,0.000666969435040557,0.022463701330473
"Tcas004975",1.03815498039499,3.13627279691513,0.000667706094390561,0.022463701330473
"Tcas003480",1.08669816460835,6.87127551980449,0.000670106548700545,0.0224688074987109
"Tcas009442",1.46602254192841,1.79218303308063,0.000674525805442898,0.0225413439731954
"Tcas002939",0.945762053774027,9.95304813935208,0.000679759310861545,0.0226405167804285
"Tcas007724",0.749259701453834,5.01897007545089,0.000687302271902356,0.0227678142648677
"Tcas012455",-1.02261925689096,5.218366931291,0.000688206004287404,0.0227678142648677
"Tcas004125",-2.49780972873503,4.48398204011415,0.000691616581462382,0.0227678142648677
"Tcas009631",1.75048423054449,4.10292056795164,0.000692695710220155,0.0227678142648677
"Tcas004714",4.40794587923166,2.457536935992,0.000708493010636385,0.0232106956140287
"Tcas007383",-2.17479121756668,8.31966659774386,0.000712761628712776,0.0232742293924773
"Tcas006779",-1.21650544883232,7.65429350338348,0.00073107787109518,0.023794560547176
"Tcas001333",-0.765981571833982,6.22998631242694,0.000737682481779326,0.0239315693439579
"Tcas005222",2.52436144250806,1.9696647712695,0.000743393094448202,0.0240387825233865
"Tcas009153",-0.830833721340282,8.37236470941685,0.000749425228264245,0.024155667357472
"Tcas008063",-1.16000062086103,8.35783072705199,0.000754251541510532,0.0242330591729043
"Tcas009742",-0.831355739565554,4.58160282275196,0.000789479149192311,0.0252835758292615
"Tcas003399",0.97769141444927,8.58801387396316,0.000800679415815586,0.0255603473572822
"Tcas009572",2.12252731113376,5.15742557077617,0.000811140174534251,0.0258118236431409
"Tcas011068",3.47503002919458,1.34753694298241,0.000818345305204988,0.025958432665423
"Tcas011494",-1.48892978638172,7.41625994852444,0.000835700071322743,0.0264250478248634
"Tcas011227",1.36912900428957,7.41127340392761,0.000840102371071271,0.0264804507625998
