"logFC","unshrunk.logFC","logCPM","PValue","FDR"
"Tcas000381",-5.86427032282484,-5.91873597179218,3.42064342115637,5.92326897069965e-10,5.91853035552309e-06
"Tcas007752",-3.86528188842922,-3.86695282619261,6.59250625253926,2.60921590635591e-08,0.000130356426681541
"Tcas005506",-2.74182787768111,-2.74237941198227,7.65984076525008,4.38327174946051e-07,0.00145992171068698
"Tcas000125",-4.01186440306021,-4.01946246538097,4.69479127422315,7.54702733674877e-07,0.00177506761113719
"Tcas011558",-1.61876417741973,-1.61880479906729,9.83858007992458,8.88244401089468e-07,0.00177506761113719
"Tcas004090",-2.48894696554277,-2.48940168243987,6.96314857974652,1.73428058860123e-06,0.00288815527355059
"Tcas011916",-3.36913309060489,-3.38450218033466,3.38052084505822,2.18372773003529e-06,0.00296142982550008
"Tcas002348",-1.44960889057286,-1.44967802548295,9.25657329034609,2.56807769591085e-06,0.00296142982550008
"Tcas007649",-2.32064819778871,-2.32308218622179,4.58013781824027,2.77055196222722e-06,0.00296142982550008
"Tcas011920",-1.80732754017533,-1.80750086081105,8.28523971745756,2.96380086619303e-06,0.00296142982550008
"Tcas009515",-1.50196345038423,-1.50228199388038,6.61058422679267,3.29010695863711e-06,0.00298861352097291
"Tcas005135",-0.994743641252357,-0.995255690183545,5.46294466346182,4.0012761841169e-06,0.00314598352000117
"Tcas002492",-1.77207303185346,-1.7802041517608,2.93552608056753,4.09305301841626e-06,0.00314598352000117
"Tcas004041",-3.36692774461868,-3.36900234207568,5.78021387673533,4.98577574449532e-06,0.00344516328512164
"Tcas006834",-2.3657820597801,-2.36695738365327,5.92211799954561,5.17188243362936e-06,0.00344516328512164
"Tcas012119",-1.80774005849276,-1.80867069447528,6.43018176488198,6.32848638314824e-06,0.00395213974627607
"Tcas003260",-1.21692725177223,-1.21702628241708,8.54961624216358,8.8314057543272e-06,0.00467262472694297
"Tcas007215",-2.48475578102666,-2.48956284399543,4.79594971459142,8.83750648104615e-06,0.00467262472694297
"Tcas000613",-1.09041405177438,-1.09099135805067,5.44729681453325,8.98395233862019e-06,0.00467262472694297
"Tcas004296",-3.32868345486316,-3.3326106088567,5.02601888501846,9.3527316391973e-06,0.00467262472694297
"Tcas004264",-1.70816508171545,-1.70899809309673,5.67537755935843,1.15212720861797e-05,0.00520220666799865
"Tcas008684",-1.55296963434841,-1.55391069317779,5.26489190609864,1.18759629157029e-05,0.00520220666799865
"Tcas012414",-1.690174218635,-1.69057406960182,6.5790343115479,1.19746550604452e-05,0.00520220666799865
"Tcas011980",-1.56907412805236,-1.57034039494003,5.08765782915526,1.31601622928505e-05,0.00547901423459007
"Tcas009663",-1.15643529466393,-1.15711343788011,5.25596821406705,1.42848791529177e-05,0.00570938049983815
"Tcas000245",-1.15710179006733,-1.15734200074285,6.66669552890835,1.77716119083357e-05,0.00667794771583276
"Tcas008044",-2.73498015827676,-2.7382595934168,4.78548364352678,1.83544434138388e-05,0.00667794771583276
"Tcas003464",-1.06048343838293,-1.0606528131772,7.10093957795901,1.87132241836787e-05,0.00667794771583276
"Tcas011863",-1.13239539072359,-1.13246445409061,8.68769810651896,2.03214817244769e-05,0.00700180156520599
"Tcas012002",-1.26372247495481,-1.26431931552535,5.40598096640837,2.1539970436676e-05,0.00706900664603624
"Tcas006459",-2.60505696365388,-2.60655521290183,5.62690043679354,2.19314657753326e-05,0.00706900664603624
"Tcas012168",-1.36620614204986,-1.36626750111406,8.92365896555874,2.31604140256706e-05,0.00723183927951564
"Tcas003336",-2.00045909466036,-2.00164613892257,5.52599485793023,3.65223172139764e-05,0.011058514957638
"Tcas005999",-0.855509449697564,-0.855745382772745,6.41030062619099,5.66404619770944e-05,0.0162317508177777
"Tcas008231",-1.60511447255096,-1.60584461366749,5.85463113097355,5.71663120629058e-05,0.0162317508177777
"Tcas007037",-1.10881006552538,-1.10903915301916,6.82747813979822,5.84810878142513e-05,0.0162317508177777
"Tcas007633",-1.53655342687944,-1.53678537551688,7.12804532382917,6.42649906785416e-05,0.0173550212664861
"Tcas005259",-1.91274232079056,-1.9128204051035,11.1143595907255,7.0683744581058e-05,0.0185105930946685
"Tcas007432",0.789810438838905,0.79028646114218,5.3708199134417,7.22491123590946e-05,0.0185105930946685
"Tcas004737",-0.944146162773029,-0.944273684192002,7.39915045448356,7.57844116853435e-05,0.0189309460389988
"Tcas004278",-2.16565190064013,-2.16578195833346,10.5717022672426,9.05696506422698e-05,0.022072486566282
"Tcas005749",-0.967530451908073,-0.968962654328256,4.25775808817949,0.000105640763180627,0.0251324406119244
"Tcas011443",-0.908432973749515,-0.908931561520132,5.31305471422304,0.000112645954774719,0.0261757762816044
"Tcas012300",-1.71773076220142,-1.7203326209756,4.73207781197414,0.000126709012996831,0.0287744649514623
"Tcas012401",1.06449827971275,1.06507380106288,5.67631187583699,0.000134467442918656,0.029857748658738
"Tcas012524",-4.17550207325906,-4.27837723768657,1.16378492728252,0.000151048860521336,0.0321752255475356
"Tcas004939",-1.479645901213,-1.48016021287722,6.2471706171138,0.000151344635782043,0.0321752255475356
"Tcas001613",-1.27063603606362,-1.27101787065471,6.06438856094206,0.000154591827630538,0.0321808654517569
"Tcas000442",1.17113292624754,1.17189530821814,5.15798147777607,0.000158823520013201,0.0323870328973857
"Tcas007810",-0.910213731754913,-0.910951721927565,4.72939149539769,0.000165978397613524,0.0331318435398133
"Tcas011487",-1.2716118969116,-1.27170813100718,8.48338728240699,0.000169417652640461,0.0331318435398133
"Tcas009833",-1.05346481575189,-1.05365356662712,7.42060326172592,0.000172423525227211,0.0331318435398133
"Tcas000454",0.927459041038399,0.929593065652634,3.45293486476631,0.000189713384348601,0.0357663421964382
"Tcas005680",-1.18878128954517,-1.18971480524532,5.28279847328435,0.000199106180240214,0.0368420176474115
"Tcas009707",-1.20618492064319,-1.20652159216483,6.76048598422742,0.000208149817122335,0.0378151449579339
"Tcas009042",-1.03492095561506,-1.03498741070541,8.33020850886735,0.000215817513495896,0.0385080106223392
"Tcas009776",-1.15775762498664,-1.15780435651348,9.52752479664077,0.00023012471662403,0.0403404590966194
"Tcas003545",-0.848596156491866,-0.848827210636349,6.46722838814712,0.000235390577509392,0.0405521146633422
"Tcas001445",-1.68502338100472,-1.6859358256333,7.4420319710685,0.000240282984825792,0.0406933488877849
"Tcas002505",1.42185670619184,1.42389272541628,4.20087560244271,0.000247836937640485,0.040730388029936
"Tcas011344",-1.22007718055857,-1.22038916771825,6.23992406476304,0.000251782141000959,0.040730388029936
"Tcas005588",-0.677586860461015,-0.677873857723923,5.68603304152025,0.00025273059025781,0.040730388029936
"Tcas000357",-1.93698385524265,-1.93812863259424,5.04571895874507,0.000273004079463111,0.0432993136824667
"Tcas007426",-1.26781792372172,-1.26846494993463,5.61544923595814,0.000288784776029764,0.0450476754656937
"Tcas005361",0.990655486263374,0.993983107397096,2.98635335669789,0.000293044325987799,0.0450476754656937
"Tcas009593",-2.10715867514262,-2.11266603849289,3.20511705801397,0.000339743004786573,0.0514350318761733
"Tcas011646",-0.890463614356836,-0.891411739931683,4.35023447450022,0.000381354253707852,0.0562726880092406
"Tcas003695",-2.02593576228485,-2.02626267760062,7.00542785349151,0.000382960646980421,0.0562726880092406
"Tcas011537",-0.925624390647106,-0.925699132779236,7.93264142039632,0.00040082678756947,0.0580443661071615
"Tcas001054",-0.663842630242515,-0.664299797916868,5.1293272853779,0.000419581286608967,0.05989223165424
"Tcas010344",-0.748248765622197,-0.74834052654182,7.43441971620932,0.000430169230730288,0.0605387458233385
"Tcas003936",1.05268499732926,1.05523060521283,3.39397150308348,0.000468871029587448,0.0650688795505247
"Tcas000658",1.07010006178184,1.07098017652694,4.84543296433628,0.000519455124101178,0.0703324972444443
"Tcas012351",1.12558075895583,1.12637804591965,5.20090719157371,0.000523639774028441,0.0703324972444443
"Tcas008986",-0.829681767730744,-0.82989592048813,6.84860450460451,0.000529578907801937,0.0703324972444443
"Tcas011154",-2.06449710010771,-2.07315161968823,2.28424301071859,0.000534954943012187,0.0703324972444443
"Tcas002138",-0.851206445478264,-0.851284477175149,7.93074028019562,0.000544685713324354,0.0706818136043759
"Tcas005879",-0.844942785788988,-0.846280203082632,4.17920303911251,0.000572709386762962,0.0733655409299426
"Tcas005306",-1.44839644168173,-1.44935046550131,4.9609478900338,0.000589989863359225,0.0746225153757643
"Tcas004589",1.36307339709133,1.36465871274792,4.27555900345413,0.000652739147806071,0.0813047888511271
"Tcas004655",-1.41520135499494,-1.41582134151632,5.56068937050508,0.000659096066547367,0.0813047888511271
"Tcas000564",4.79570226841387,4.8112651420532,4.18547967609429,0.000681666011324443,0.0830634973799248
"Tcas005596",-1.19310919399268,-1.19319839218454,8.86319799618711,0.000704471105209349,0.0847023480204653
"Tcas004517",-1.21832638721548,-1.21863938766456,6.52682734793524,0.000712069378875009,0.0847023480204653
"Tcas004153",1.58166758781497,1.58269358431342,5.31667672378049,0.000729251867836794,0.0852917837516902
"Tcas007958",-1.8522986225097,-1.85338426506502,5.63278487173026,0.000734096617558583,0.0852917837516902
"Tcas000114",-0.9127417159512,-0.912872277197876,7.29520650534903,0.000805243306158776,0.0924826564958447
"Tcas008722",-1.45847320412004,-1.46436705331971,2.48869826930986,0.0008402236906475,0.0954035808744298
"Tcas010260",-0.988858715160644,-0.989041760684154,6.62935034311423,0.000866524603065769,0.0960423144292564
"Tcas000260",-1.10687644602527,-1.10706724253993,7.04351316989968,0.000868400847157038,0.0960423144292564
"Tcas000748",-0.844586140504858,-0.844961870137555,5.63450016304974,0.000881575648857245,0.0960423144292564
"Tcas005381",1.19540001839885,1.19951908121726,2.93819898479015,0.000892818638964359,0.0960423144292564
"Tcas008216",-0.972259624415171,-0.973014411701153,5.18609870266823,0.000893908651112975,0.0960423144292564
"Tcas012355",-0.694720054196303,-0.694945293843081,6.07053471722951,0.000943351501031255,0.0987166747115933
"Tcas005065",-0.846633627802024,-0.846782169483698,6.99039130033703,0.000947066240421201,0.0987166747115933
"Tcas006300",-0.925503660132498,-0.925704901545423,6.79069553462906,0.000948438828293931,0.0987166747115933
"Tcas008385",-1.21411555869008,-1.21423103917371,8.61663175893214,0.000987183386442801,0.101690065951922
"Tcas002477",-0.577220731409185,-0.577576769410269,5.09322076590842,0.00104731828894481,0.106783717787107
"Tcas000715",1.29933096212726,1.30161812485481,3.98647011961512,0.00110559485681231,0.111586907164329
"Tcas002936",-0.858029850330038,-0.858743985362235,4.5862148027682,0.00112982578506521,0.112892192443715
"Tcas007433",-1.76679375084328,-1.76731978110425,6.34770415034071,0.00120975004223493,0.119681410118925
"Tcas002458",1.51193839122846,1.53021288308529,1.25950034239836,0.00128238169452679,0.125623116585409
"Tcas006115",1.73131352679889,1.73208683714798,5.85017246021933,0.00130883078226733,0.126969292974904
"Tcas004584",-0.730124998476459,-0.730714171830552,4.64757755837367,0.00136935183380336,0.131563110801569
"Tcas001006",-0.819398250274158,-0.819491355943466,7.4071528705452,0.00145537249377778,0.138496018645977
"Tcas001272",1.23413808000051,1.235359039539,4.57459192300955,0.00152018169818252,0.140928991582168
"Tcas004167",-0.649624987877422,-0.650025654908832,5.15020946765293,0.00152294507389007,0.140928991582168
"Tcas001505",-0.631010523389714,-0.631080203852485,7.8305795220077,0.00152325171045578,0.140928991582168
"Tcas002945",-0.970409361694368,-0.97087865334107,5.34588998869664,0.00157212446147813,0.144116216688894
"Tcas009262",-0.702291870111224,-0.702390988793655,7.38389637164243,0.00161339422133703,0.146554864178178
"Tcas008050",-0.578546120145315,-0.578896621926648,5.23119347788788,0.00163167941084021,0.146880546604643
"Tcas005568",-1.07517018299233,-1.0755690649145,6.04500177392931,0.00171083562769655,0.152393178163489
"Tcas011939",-0.97662255650154,-0.976840016379851,7.12385793341589,0.00172342165056788,0.152393178163489
"Tcas005966",-0.91827193053999,-0.918420036932012,7.2575550005374,0.00176426620150636,0.153665522716892
"Tcas011155",-0.768041171538257,-0.768133968054517,7.45442626122943,0.00176856836593701,0.153665522716892
"Tcas008404",-1.39135608183993,-1.39188546499223,5.93706316068099,0.00180456569099494,0.155441555038116
"Tcas005872",-1.15462760662241,-1.15655184691969,4.14370803738033,0.00187777688723985,0.160365356045304
"Tcas008244",0.921513330574259,0.922061871066941,5.0954650917954,0.00189944474784117,0.160841117969737
"Tcas007784",-0.603155956959079,-0.603195356962784,8.34625959520107,0.00193082299145844,0.16212422966935
"Tcas005205",-1.01068851015197,-1.01130252980084,5.34060423051817,0.00194713399485457,0.16213135730489
"Tcas005278",-1.06187511187343,-1.06221173377405,6.2731274022261,0.00200200825895704,0.165322863830568
"Tcas006179",-0.959706780535812,-0.962110767326142,3.0312368662552,0.00204321595417584,0.165471367871688
"Tcas012311",-1.00622440041365,-1.00763367447368,4.10956554085106,0.00204522035985854,0.165471367871688
"Tcas003676",-2.39500086770424,-2.4448885980357,0.771489837406351,0.00205711468406615,0.165471367871688
"Tcas004274",-0.909221983843696,-0.909413550320448,6.92122992615513,0.00209494708850739,0.165471367871688
"Tcas008723",-1.20695530190079,-1.20700644298649,9.73895733690553,0.00209600935566007,0.165471367871688
"Tcas011747",-2.94257415420798,-2.98300595242667,1.87965986216633,0.00210316890709611,0.165471367871688
"Tcas004816",1.25723026407277,1.25863343713713,4.55013225059972,0.00212173102177504,0.165627627887314
"Tcas002425",0.676820811435601,0.677357578281952,4.90829400737562,0.00213880527948325,0.165666219787571
"Tcas012359",0.699554167348267,0.699921735012332,5.36525359529923,0.00217117591057434,0.166879920757375
"Tcas010702",1.43196451908173,1.43214684691205,7.43480196796311,0.00230931770525147,0.17614276725857
"Tcas012206",1.88477387432629,1.88708658904248,4.24515155588166,0.00233100712933562,0.176450176032738
"Tcas006418",-1.49938081756044,-1.50010423144469,5.47537467946052,0.00238493845241634,0.178552350599096
"Tcas004226",-2.08081385396381,-2.09800669558605,1.48423661219478,0.00240741932022775,0.178552350599096
"Tcas001732",1.21311601397421,1.21358421972932,6.05556805226418,0.00241238664240172,0.178552350599096
"Tcas006266",1.46753729522203,1.46807753823651,6.02902122473329,0.00249118007405711,0.183028465441019
"Tcas008219",-0.541120876006853,-0.541387096519983,5.35090544320383,0.00254466616966115,0.185037908585585
"Tcas012507",-0.762538887805643,-0.763745956408645,3.89103483431666,0.00255556759255512,0.185037908585585
"Tcas000700",-1.1934382012602,-1.19776213376306,2.50928036531105,0.00260919717157533,0.187561857110652
"Tcas000944",1.39322593204742,1.39413782877457,4.86331423978084,0.00262954466535801,0.18767435925898
"Tcas009523",-1.56905937482379,-1.56925656007064,7.9422603712709,0.00267079173824374,0.189266319493131
"Tcas007348",-0.541677657869064,-0.541792213186411,6.68647564539096,0.00271780214897063,0.191241401919117
"Tcas007069",-0.871168770300654,-0.871387961725499,7.16505211516704,0.0027674728440248,0.193067217559343
"Tcas002013",2.35027998709428,2.38715899316459,0.946709509883135,0.00279200300369296,0.193067217559343
"Tcas005565",1.8614217905228,1.86290328434949,4.9501333714342,0.00280171602743242,0.193067217559343
"Tcas000895",0.816006138528708,0.817975279292014,3.16868868274895,0.00290071009491296,0.195519113894436
"Tcas005176",-3.39032071416774,-3.44032987602577,1.6099251573445,0.00290658881210502,0.195519113894436
"Tcas001925",1.59923618789421,1.61708036798291,1.3633022390286,0.00290971355762798,0.195519113894436
"Tcas004985",-0.943577911915038,-0.944166154472919,5.04251047556649,0.00291556725082775,0.195519113894436
"Tcas010516",-0.618956433048493,-0.619134239039484,6.50736622133694,0.00296815714891056,0.197718841546096
"Tcas005087",-0.797554576726967,-0.797587174617723,9.32805873036092,0.00301741345094555,0.199668842396344
"Tcas003282",-2.2786071988805,-2.28020099530208,6.12301522028814,0.00307884365009486,0.2009157203599
"Tcas006574",-0.933311947235484,-0.933380107092528,8.10692971242959,0.00308182467090325,0.2009157203599
"Tcas001900",-0.861807732794354,-0.861888354725277,7.84739198893979,0.00309657935702808,0.2009157203599
"Tcas001695",1.65553822166109,1.65716987766869,4.58185467035823,0.00315357104922798,0.203293431767006
"Tcas008838",-0.505778197429205,-0.505940396249884,6.07961557150884,0.00317895551061236,0.20361617603871
"Tcas006112",-1.15037746037495,-1.15058138309594,7.03389013912538,0.00326733467063401,0.207637841952636
"Tcas005581",-0.735902239128545,-0.736628843144498,4.61261960192646,0.00328330454648885,0.207637841952636
