"logFC","logCPM","PValue","FDR"
"Tcas001445",4.65144524432623,7.44203566161208,8.95106755346173e-33,8.94390669941896e-29
"Tcas012119",3.15272093393425,6.43018983998564,1.59883370549796e-31,7.98777319266779e-28
"Tcas007215",3.75950583993286,4.7959705885872,2.11224916704554e-30,7.035197892373e-27
"Tcas005259",4.61601052310649,11.1143600304619,3.81585934088158e-27,9.5320166335222e-24
"Tcas004278",4.76375107793262,10.5717025793076,3.28558492046567e-24,6.5659129050586e-21
"Tcas005506",3.06583368972484,7.65984387036084,2.52195545187538e-23,4.1998964791898e-20
"Tcas002492",2.53003682731451,2.93556940834502,6.83364935035702e-21,9.7545463298239e-18
"Tcas008014",3.47676537223828,8.66301986289366,1.01014645317745e-19,1.26167292001863e-16
"Tcas010348",2.09553553004101,4.94628167478005,1.16243348128665e-19,1.29055948277957e-16
"Tcas007069",2.42034349221336,7.16505743134777,3.36645477886229e-19,3.3637616150392e-16
"Tcas000381",3.88599477922557,3.42068409166722,4.10005494564535e-19,3.72434081971712e-16
"Tcas007752",2.56572527235855,6.59251098628021,1.34711335109378e-18,1.12169638367742e-15
"Tcas012300",2.96763763524544,4.73208680615686,2.32089176411539e-18,1.78387311592623e-15
"Tcas010750",-2.79543084469061,3.05157852482559,9.19151383255065e-17,6.56011472963186e-14
"Tcas008986",1.80362691680081,6.8486065388135,2.3768856250339e-16,1.58332274435591e-13
"Tcas003161",-4.4441104986667,4.22485881800419,2.83885653007464e-16,1.77286590303161e-13
"Tcas005749",1.65292041455626,4.25777849570576,4.96344619099639e-16,2.91733849061388e-13
"Tcas009707",2.1172550567813,6.76048891869389,8.38012076341829e-16,4.65189814822642e-13
"Tcas001544",3.50581554126975,5.77189064051348,1.09423140472649e-15,5.6582451156103e-13
"Tcas011916",3.36931115767014,3.38054762540743,1.1325550671758e-15,5.6582451156103e-13
"Tcas003260",1.99144990444998,8.54961704759407,1.92172354823327e-15,9.09206236281245e-13
"Tcas005879",1.62087258547415,4.17922308541462,2.00185520398192e-15,9.09206236281245e-13
"Tcas010412",3.00713142204837,9.11364705182505,3.79938441163757e-15,1.65058474091664e-12
"Tcas011920",2.18147697180258,8.28524077622005,6.47767038898404e-15,2.69687010528036e-12
"Tcas007531",2.43275212257813,5.91472052784908,8.4565135509183e-15,3.37989933603103e-12
"Tcas004599",2.7211250927443,4.75118093818306,9.92385411635282e-15,3.81381347425375e-12
"Tcas012473",3.48324593633184,1.72474057228756,1.65888464055101e-14,6.09571558887926e-12
"Tcas009833",1.88430402699802,7.4206050012556,1.70816689840492e-14,6.09571558887926e-12
"Tcas000125",3.10077332719022,4.69482480364165,1.951926010918e-14,6.7253947245147e-12
"Tcas005680",1.90165349004441,5.28281210643438,2.82910321621968e-14,9.37498279459133e-12
"Tcas008385",2.57167886910482,8.61663413558775,2.90857152354215e-14,9.37498279459133e-12
"Tcas002348",2.02082968554009,9.25657402025131,3.52830933411185e-14,1.10171458957642e-11
"Tcas005611",1.83367889112245,8.25367569500276,9.06126415510341e-14,2.69271533789138e-11
"Tcas008614",2.72247500348859,9.08393789713627,9.16256219858955e-14,2.69271533789138e-11
"Tcas011939",2.01605436453492,7.12386180514102,2.37674597614187e-13,6.7852702267456e-11
"Tcas007380",-2.17606273808648,4.99526408920197,2.45342094356251e-13,6.80960613002127e-11
"Tcas011980",1.79524677506806,5.08766491564108,3.43605708584098e-13,9.27921145992515e-11
"Tcas005596",2.32865100902667,8.86319921382246,8.03126408292161e-13,2.11179975569876e-10
"Tcas006834",2.15340133439202,5.92212538781818,1.47305104050398e-12,3.74226878937764e-10
"Tcas000686",-1.59940374833127,6.41459579147265,1.4981060005515e-12,3.74226878937764e-10
"Tcas011193",-1.74148784971037,5.95878769082939,1.99538788813236e-12,4.86290628737038e-10
"Tcas011630",-2.84669107463412,8.55468099099044,2.3090163601841e-12,5.49325987403798e-10
"Tcas004279",2.54762515939749,11.3497718917049,2.76924942055735e-12,6.4349628395835e-10
"Tcas008216",1.69226465461281,5.186104903657,3.52542947991934e-12,8.00592985530773e-10
"Tcas009545",-2.77938960774939,3.95264002380353,4.38685567515946e-12,9.7407693124874e-10
"Tcas002003",2.99008519315759,11.432005749579,5.29807239669619e-12,1.15083346495192e-09
"Tcas011971",-1.9811775098666,7.22875080764247,6.82657796233754e-12,1.45130142552504e-09
"Tcas011047",1.50293384645324,7.59492930391606,7.09216830748669e-12,1.47635303600848e-09
"Tcas008723",2.48787564378406,9.73895810801539,2.32193698489178e-11,4.73485599041604e-09
"Tcas009886",1.88979855952797,8.62029172688309,2.75922523675099e-11,5.48920191569561e-09
"Tcas005214",2.22338625077738,3.7894696349096,2.80173436449636e-11,5.48920191569561e-09
"Tcas008231",1.82726028158293,5.85463696506187,5.43802197789695e-11,1.04493683852205e-08
"Tcas002204",3.11116559687132,2.61299806909405,6.35187805440914e-11,1.19750878338974e-08
